,Year,MonthName,Ozone,Month,Date
161,1968,Jun,3.33,6,1968-06-01
162,1968,Jul,4.67,7,1968-07-01
163,1968,Aug,4.13,8,1968-08-01
164,1968,Sep,4.73,9,1968-09-01
165,1968,Oct,3.42,10,1968-10-01
166,1968,Nov,3.08,11,1968-11-01
167,1968,Dec,1.79,12,1968-12-01
168,1969,Jan,1.96,1,1969-01-01
169,1969,Feb,1.63,2,1969-02-01
170,1969,Mar,2.75,3,1969-03-01
171,1969,Apr,3.06,4,1969-04-01
172,1969,May,4.31,5,1969-05-01
173,1969,Jun,3.31,6,1969-06-01
174,1969,Jul,3.71,7,1969-07-01
175,1969,Aug,5.25,8,1969-08-01
176,1969,Sep,3.67,9,1969-09-01
177,1969,Oct,3.1,10,1969-10-01
178,1969,Nov,2.25,11,1969-11-01
179,1969,Dec,2.29,12,1969-12-01
180,1970,Jan,1.25,1,1970-01-01
181,1970,Feb,2.25,2,1970-02-01
182,1970,Mar,2.67,3,1970-03-01
183,1970,Apr,3.23,4,1970-04-01
184,1970,May,3.58,5,1970-05-01
185,1970,Jun,3.04,6,1970-06-01
186,1970,Jul,3.75,7,1970-07-01
187,1970,Aug,4.54,8,1970-08-01
188,1970,Sep,4.46,9,1970-09-01
189,1970,Oct,2.83,10,1970-10-01
190,1970,Nov,1.63,11,1970-11-01
191,1970,Dec,1.17,12,1970-12-01
192,1971,Jan,1.79,1,1971-01-01
193,1971,Feb,1.92,2,1971-02-01
194,1971,Mar,2.25,3,1971-03-01
195,1971,Apr,2.96,4,1971-04-01
196,1971,May,2.38,5,1971-05-01
197,1971,Jun,3.38,6,1971-06-01
198,1971,Jul,3.38,7,1971-07-01
199,1971,Aug,3.21,8,1971-08-01
200,1971,Sep,2.58,9,1971-09-01
201,1971,Oct,2.42,10,1971-10-01
202,1971,Nov,1.58,11,1971-11-01
203,1971,Dec,1.21,12,1971-12-01
204,1972,Jan,1.42,1,1972-01-01
205,1972,Feb,1.96,2,1972-02-01
206,1972,Mar,3.04,3,1972-03-01
207,1972,Apr,2.92,4,1972-04-01
208,1972,May,3.58,5,1972-05-01
209,1972,Jun,3.33,6,1972-06-01
210,1972,Jul,4.04,7,1972-07-01
211,1972,Aug,3.92,8,1972-08-01
212,1972,Sep,3.08,9,1972-09-01
213,1972,Oct,2.0,10,1972-10-01
214,1972,Nov,1.58,11,1972-11-01
215,1972,Dec,1.21,12,1972-12-01
